id, id2,Title,Author,Genre,Length,Published_Year,Revenue_in_million,Webpage_link,Image_link
0,0,One Piece,Eiichiro Oda,Shōnen,84,1997,406.0,http://mangapark.me/manga/one-piece,http://2.c.mpcdn.net/7170/18/180.jpg
1,1,Golgo 13,Takao Saito,Seinen,182,1968,280.0,http://mangapark.me/manga/golgo-13,http://2.c.mpcdn.net/13624/2/180.jpg
2,2,Dragon Ball,Akira Toriyama,Shōnen,42,1984,240.0,http://mangapark.me/manga/dragon-ball,http://2.c.mpcdn.net/19781/1/180.jpg
3,3,Naruto,Masashi Kishimoto,Shōnen,72,1999,220.0,http://mangapark.me/manga/naruto,http://2.c.mpcdn.net/21897/3/180.jpg
4,4,Kochira Katsushika-ku Kameari Kōen-mae Hashutsujo,Osamu Akimoto,Shōnen,200,1976,156.0,http://mangapark.me/manga/kochira-katsushikaku-kameari-kouenmae-hashutsujo,http://2.c.mpcdn.net/14976/5/180.jpg
5,5,Case Closed,Gosho Aoyama,Shōnen,91,1994,150.0,http://mangapark.me/manga/case-closed,http://2.c.mpcdn.net/12941/10/180.jpg
6,6,Pokémon Adventures,Hidenori Kusaka,Shōnen,52,1997,150.0,http://mangapark.me/manga/pokemon-adventures,http://2.c.mpcdn.net/20775/1/180.jpg
7,7,Oishinbo,Tetsu Kariya,Seinen,111,1983,130.0,http://mangapark.me/manga/oishinbo,http://h.s.mangapark.me/img/no-cover.jpg
8,8,Slam Dunk,Takehiko Inoue,Shōnen,31,1990,120.0,http://mangapark.me/manga/slam-dunk,http://2.c.mpcdn.net/17473/1/180.jpg
9,9,Astro Boy,Osamu Tezuka,Shōnen,23,1952,100.0,http://mangapark.me/manga/astro-boy,http://2.c.mpcdn.net/28212/1/180.jpg
10,11,Fist of the North Star,Buronson,Shōnen,27,1983,100.0,http://mangapark.me/manga/fist-of-the-north-star,http://2.c.mpcdn.net/2743/1/180.jpg
11,13,Touch,Mitsuru Adachi,Shōnen,26,1981,100.0,http://mangapark.me/manga/touch,http://2.c.mpcdn.net/18281/2/180.jpg
12,14,Hajime no Ippo,George Morikawa,Shōnen,116,1989,94.0,http://mangapark.me/manga/hajime-no-ippo,http://2.c.mpcdn.net/13736/5/180.jpg
13,15,Kindaichi Case Files,Yōzaburō Kanari,Shōnen,70,1992,90.0,http://mangapark.me/manga/kindaichi-case-files,http://2.c.mpcdn.net/14880/3/180.jpg
14,16,Bleach,Tite Kubo,Shōnen,74,2001,87.0,http://mangapark.me/manga/bleach,http://2.c.mpcdn.net/12237/4/180.jpg
15,17,Sazae-san,Machiko Hasegawa,Josei,45,1946,86.0,http://mangapark.me/manga/sazae-san,http://h.s.mangapark.me/img/no-cover.jpg
16,18,Captain Tsubasa,Yōichi Takahashi,Shōnen,92,1981,82.0,http://mangapark.me/manga/captain-tsubasa,http://2.c.mpcdn.net/12463/1/180.jpg
17,19,Vagabond,Takehiko Inoue,Seinen,37,1998,82.0,http://mangapark.me/manga/vagabond,http://2.c.mpcdn.net/13061/4/180.jpg
18,21,Rurouni Kenshin,Nobuhiro Watsuki,Shōnen,28,1994,70.0,http://mangapark.me/manga/rurouni-kenshin,http://2.c.mpcdn.net/16912/1/180.jpg
19,22,Sangokushi,Mitsuteru Yokoyama,Shōnen,60,1971,70.0,http://mangapark.me/manga/sangokushi,http://2.c.mpcdn.net/17052/8/180.jpg
20,23,Hunter × Hunter,Yoshihiro Togashi,Shōnen,33,1998,66.0,http://mangapark.me/manga/hunter-x-hunter,http://2.c.mpcdn.net/14206/2/180.jpg
21,24,Fullmetal Alchemist,Hiromu Arakawa,Shōnen,27,2001,65.0,http://mangapark.me/manga/fullmetal-alchemist,http://2.c.mpcdn.net/13388/1/180.jpg
22,25,Baki the Grappler,Keisuke Itagaki,Shōnen,123,1991,63.0,http://mangapark.me/manga/baki-the-grappler,http://2.c.mpcdn.net/13655/1/180.jpg
23,26,Boys Over Flowers,Yoko Kamio,Shōjo,37,1992,61.0,http://mangapark.me/manga/boys-over-flowers,http://2.c.mpcdn.net/13796/1/180.jpg
24,27,Attack on Titan,Hajime Isayama,Shōnen,21,2009,60.0,http://mangapark.me/manga/attack-on-titan,http://2.c.mpcdn.net/17308/10/180.jpg
25,28,Rokudenashi Blues,Masanori Morita,Shōnen,42,1988,60.0,http://mangapark.me/manga/rokudenashi-blues,http://2.c.mpcdn.net/16856/3/180.jpg
26,29,Shoot!,Tsukasa Ooshima,Shōnen,33,1990,60.0,http://mangapark.me/manga/shoot,http://2.c.mpcdn.net/9098/1/180.jpg
27,30,Bad Boys,Hiroshi Tanaka,Shōnen,22,1988,55.0,http://mangapark.me/manga/bad-boys,http://2.c.mpcdn.net/360832/1/180.jpg
28,31,H2,Mitsuru Adachi,Shōnen,34,1992,55.0,http://mangapark.me/manga/h2,http://2.c.mpcdn.net/13705/1/180.jpg
29,32,Major,Takuya Mitsuda,Shōnen,78,1994,53.0,http://mangapark.me/manga/major,http://2.c.mpcdn.net/7054/1/180.jpg
30,33,Minami no Teiō,Dai Tennōji,Shōnen,130,1992,53.0,http://mangapark.me/manga/minami-no-teio,http://h.s.mangapark.me/img/no-cover.jpg
31,34,Ranma ½,Rumiko Takahashi,Shōnen,38,1987,53.0,http://mangapark.me/manga/ranma-1-2,http://2.c.mpcdn.net/16729/1/180.jpg
32,35,The Prince of Tennis,Takeshi Konomi,Shōnen,42,1999,51.0,http://mangapark.me/manga/the-prince-of-tennis,http://2.c.mpcdn.net/16630/1/180.jpg
33,36,Dragon Quest: Dai no Daibōken,Riku Sanjo,Shōnen,37,1989,50.0,http://mangapark.me/manga/dragon-quest-dai-no-daiboken,http://2.c.mpcdn.net/19784/1/180.jpg
34,37,Gin Tama,Hideaki Sorachi,Shōnen,67,2003,50.0,http://mangapark.me/manga/gin-tama,http://2.c.mpcdn.net/7007/22/180.jpg
35,38,Glass Mask,Suzue Miuchi,Shōjo,49,1976,50.0,http://mangapark.me/manga/glass-mask,http://2.c.mpcdn.net/3126/1/180.jpg
36,39,Great Teacher Onizuka,Tooru Fujisawa,Shōnen,25,1997,50.0,http://mangapark.me/manga/great-teacher-onizuka,http://2.c.mpcdn.net/13669/2/180.jpg
37,40,Rookies,Masanori Morita,Shōnen,24,1998,50.0,http://mangapark.me/manga/rookies,http://2.c.mpcdn.net/16867/1/180.jpg
38,41,YuYu Hakusho,Yoshihiro Togashi,Shōnen,19,1990,50.0,http://mangapark.me/manga/yuyu-hakusho,http://2.c.mpcdn.net/19148/1/180.jpg
39,42,Dokaben,Shinji Mizushima,Shōnen,48,1972,48.0,http://mangapark.me/manga/dokaben,http://h.s.mangapark.me/img/no-cover.jpg
40,43,Initial D,Shuichi Shigeno,Seinen,48,1995,48.0,http://mangapark.me/manga/initial-d,http://2.c.mpcdn.net/14369/4/180.jpg
41,44,Crows,Hiroshi Takahashi,Shōnen,26,1990,46.0,http://mangapark.me/manga/crows,http://2.c.mpcdn.net/12762/1/180.jpg
42,45,Black Jack,Osamu Tezuka,Shōnen,17,1973,45.0,http://mangapark.me/manga/black-jack,http://2.c.mpcdn.net/19521/1/180.jpg
43,46,Inuyasha,Rumiko Takahashi,Shōnen,56,1998,45.0,http://mangapark.me/manga/inuyasha,http://2.c.mpcdn.net/14385/2/180.jpg
44,47,Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Seinen,108,1988,44.0,http://mangapark.me/manga/shizukanaru-don-–-yakuza-side-story,http://h.s.mangapark.me/img/no-cover.jpg
45,48,Crayon Shin-chan,Yoshito Usui,Seinen,50,1990,43.0,http://mangapark.me/manga/crayon-shin-chan,http://2.c.mpcdn.net/23947/1/180.jpg
46,49,Nana,Ai Yazawa,Shōjo,21,2000,43.0,http://mangapark.me/manga/nana,http://2.c.mpcdn.net/15991/2/180.jpg
47,50,Be-Bop High School,Kazuhiro Kiuchi,Seinen,48,1983,40.0,http://mangapark.me/manga/be-bop-high-school,http://2.c.mpcdn.net/12109/1/180.jpg
48,51,Berserk,Kentaro Miura,Seinen,38,1990,40.0,http://mangapark.me/manga/berserk,http://2.c.mpcdn.net/12138/5/180.jpg
49,52,City Hunter,Tsukasa Hojo,Shōnen,35,1985,40.0,http://mangapark.me/manga/city-hunter,http://2.c.mpcdn.net/12624/2/180.jpg
50,53,Cobra,Buichi Terasawa,Shōnen,18,1978,40.0,http://mangapark.me/manga/cobra,http://2.c.mpcdn.net/9412/1/180.jpg
51,54,Kachō Kōsaku Shima,Kenshi Hirokane,Seinen,83,1983,40.0,http://mangapark.me/manga/young-shima-kousaku,http://2.c.mpcdn.net/19070/1/180.jpg
52,55,Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shōnen,38,1988,40.0,http://mangapark.me/manga/kyou-kara-ore-wa,http://2.c.mpcdn.net/15178/2/180.jpg
53,56,Tsurikichi Sanpei,Takao Yaguchi,Shōnen,65,1973,40.0,http://mangapark.me/manga/tsurikichi-sanpei,http://h.s.mangapark.me/img/no-cover.jpg
54,57,Yu-Gi-Oh!,Kazuki Takahashi,Shōnen,38,1996,40.0,http://mangapark.me/manga/yu-gi-oh,http://2.c.mpcdn.net/19082/1/180.jpg
55,58,Nodame Cantabile,Tomoko Ninomiya,Josei,23,2001,37.0,http://mangapark.me/manga/nodame-cantabile,http://2.c.mpcdn.net/16149/1/180.jpg
56,59,20th Century Boys,Naoki Urasawa,Seinen,22,1999,36.0,http://mangapark.me/manga/20th-century-boys,http://2.c.mpcdn.net/9625/2/180.jpg
57,60,Cooking Papa,Tochi Ueyama,Seinen,132,1985,36.0,http://mangapark.me/manga/cooking-papa,http://2.c.mpcdn.net/12699/1/180.jpg
58,61,Crest of the Royal Family,Chieko Hosokawa,Shōjo,59,1976,36.0,http://mangapark.me/manga/crest-of-the-royal-family,http://2.c.mpcdn.net/16439/1/180.jpg
59,62,Dr. Slump,Akira Toriyama,Shōnen,18,1980,35.0,http://mangapark.me/manga/dr-slump,http://2.c.mpcdn.net/13072/1/180.jpg
60,63,Fairy Tail,Hiro Mashima,Shōnen,59,2006,35.0,http://mangapark.me/manga/fairy-tail,http://2.c.mpcdn.net/13235/16/180.jpg
61,64,Sailor Moon,Naoko Takeuchi,Shōjo,18,1991,35.0,http://mangapark.me/manga/sailor-moon,http://2.c.mpcdn.net/8467/1/180.jpg
62,65,Saint Seiya,Masami Kurumada,Shōnen,28,1986,34.0,http://mangapark.me/manga/saint-seiya,http://2.c.mpcdn.net/16962/1/180.jpg
63,66,3×3 Eyes,Yuzo Takada,Seinen,40,1987,33.0,http://mangapark.me/manga/3x3-eyes,http://2.c.mpcdn.net/9863/9/180.jpg
64,67,Chibi Maruko-chan,Momoko Sakura,Shōjo,16,1986,32.0,http://mangapark.me/manga/chibi-maruko-chan,http://2.c.mpcdn.net/23954/2/180.jpg
65,69,Chameleon,Atsushi Kase,Shōnen,47,1990,30.0,http://mangapark.me/manga/chameleon,http://2.c.mpcdn.net/12505/1/180.jpg
66,70,Death Note,Tsugumi Ohba,Shōnen,12,2003,30.0,http://mangapark.me/manga/death-note,http://2.c.mpcdn.net/19723/1/180.jpg
67,71,Gaki Deka,Tatsuhiko Yamagami,Shōnen,26,1974,30.0,http://mangapark.me/manga/gaki-deka,http://h.s.mangapark.me/img/no-cover.jpg
68,72,Jarinko Chie,Etsumi Haruki,Seinen,67,1978,30.0,http://mangapark.me/manga/jarinko-chie,http://h.s.mangapark.me/img/no-cover.jpg
69,73,Kuroko's Basketball,Tadatoshi Fujimaki,Shōnen,30,2008,30.0,http://mangapark.me/manga/kuroko-no-basuke,http://2.c.mpcdn.net/24656/6/180.jpg
70,74,Salaryman Kintarō,Hiroshi Motomiya,Seinen,30,1994,30.0,http://mangapark.me/manga/salaryman-kintaro,http://2.c.mpcdn.net/17037/1/180.jpg
71,75,Shura no Mon,Masatoshi Kawahara,Shōnen,31,1987,30.0,http://mangapark.me/manga/shura-no-mon,http://2.c.mpcdn.net/24628/1/180.jpg
72,76,Urusei Yatsura,Rumiko Takahashi,Shōnen,34,1978,30.0,http://mangapark.me/manga/urusei-yatsura,http://2.c.mpcdn.net/18731/1/180.jpg
73,77,Ushio and Tora,Kazuhiro Fujita,Shōnen,33,1990,30.0,http://mangapark.me/manga/ushio-and-tora,http://2.c.mpcdn.net/21300/1/180.jpg
74,78,Hayate Densetsu Tokkō no Taku,Hiroto Saki,Shōnen,27,1991,29.0,http://mangapark.me/manga/hayate-densetsu-tokko-no-taku,http://h.s.mangapark.me/img/no-cover.jpg
75,79,Kingdom,Yasuhisa Hara,Seinen,45,2006,28.0,http://mangapark.me/manga/kingdom,http://2.c.mpcdn.net/14895/21/180.jpg
76,80,Tokimeki Tonight,Koi Ikeno,Shōjo,30,1982,28.0,http://mangapark.me/manga/tokimeki-tonight,http://2.c.mpcdn.net/18194/2/180.jpg
77,81,Worst,Hiroshi Takahashi,Shōnen,31,2002,28.0,http://mangapark.me/manga/worst,http://2.c.mpcdn.net/26894/1/180.jpg
78,82,Itazura na Kiss,Kaoru Tada,Shōjo,23,1990,27.0,http://mangapark.me/manga/itazura-na-kiss,http://2.c.mpcdn.net/22434/2/180.jpg
79,83,Yūkan Club,Yukari Ichijo,Shōjo,19,1982,27.0,http://mangapark.me/manga/yukan-club,http://2.c.mpcdn.net/19088/1/180.jpg
80,84,Asari-chan,Mayumi Muroyama,Shōjo,100,1978,26.5,http://mangapark.me/manga/asari-chan,http://h.s.mangapark.me/img/no-cover.jpg
81,85,Reborn!,Akira Amano,Shōnen,42,2004,26.5,http://mangapark.me/manga/reborn,http://2.c.mpcdn.net/14723/1/180.jpg
82,86,Baribari Legend,Shuichi Shigeno,Shōnen,38,1983,26.0,http://mangapark.me/manga/baribari-legend,http://h.s.mangapark.me/img/no-cover.jpg
83,87,Futari Ecchi,Katsu Aki,Seinen,69,1997,26.0,http://mangapark.me/manga/futari-ecchi,http://2.c.mpcdn.net/13406/4/180.jpg
84,88,Sakigake!! Otokojuku,Akira Miyashita,Shōnen,34,1985,26.0,http://mangapark.me/manga/sakigake-otokojuku,http://2.c.mpcdn.net/17013/3/180.jpg
85,89,Shaman King,Hiroyuki Takei,Shōnen,32,1998,26.0,http://mangapark.me/manga/shaman-king,http://2.c.mpcdn.net/17240/1/180.jpg
86,90,Angel Heart,Tsukasa Hojo,Seinen,47,2001,25.0,http://mangapark.me/manga/angel-heart,http://2.c.mpcdn.net/11805/1/180.jpg
87,91,Boys Be...,Masahiro Itabashi,Shōnen,32,1991,25.0,http://mangapark.me/manga/boys-be,http://2.c.mpcdn.net/25296/1/180.jpg
88,92,Hikaru no Go,Yumi Hotta,Shōnen,23,1998,25.0,http://mangapark.me/manga/hikaru-no-go,http://2.c.mpcdn.net/14034/1/180.jpg
89,93,Maison Ikkoku,Rumiko Takahashi,Seinen,15,1980,25.0,http://mangapark.me/manga/maison-ikkoku,http://2.c.mpcdn.net/6077/1/180.jpg
90,94,Miyuki,Mitsuru Adachi,Shōnen,12,1980,25.0,http://mangapark.me/manga/miyuki,http://2.c.mpcdn.net/15790/1/180.jpg
91,95,Seito Shokun!,Yoko Shoji,Shōjo,65,1977,25.0,http://mangapark.me/manga/seito-shokun,http://2.c.mpcdn.net/8717/2/180.jpg
92,96,Tsuribaka Nisshi,Jūzō Yamasaki,Seinen,91,1979,25.0,http://mangapark.me/manga/tsuribaka-nisshi,http://h.s.mangapark.me/img/no-cover.jpg
93,97,Ace of Diamond,Yuji Terajima,Shōnen,47,2006,23.0,http://mangapark.me/manga/ace-of-diamond,http://2.c.mpcdn.net/12961/14/180.jpg
94,98,Haikyū!!,Haruichi Furudate,Shōnen,24,2012,23.0,http://mangapark.me/manga/haikyu,http://2.c.mpcdn.net/3349/1/180.jpg
95,100,D.Gray-man,Katsura Hoshino,Shōnen,25,2004,22.5,http://mangapark.me/manga/dgray-man,http://2.c.mpcdn.net/12955/3/180.jpg
96,101,Abu-san,Shinji Mizushima,Seinen,107,1973,22.0,http://mangapark.me/manga/abu-san,http://h.s.mangapark.me/img/no-cover.jpg
97,102,Black Butler,Yana Toboso,Shōnen,24,2006,22.0,http://mangapark.me/manga/black-butler,http://2.c.mpcdn.net/15160/6/180.jpg
98,103,Patalliro!,Mineo Maya,Shōjo,94,1979,22.0,http://mangapark.me/manga/patalliro,http://2.c.mpcdn.net/16517/1/180.jpg
99,104,Zatch Bell!,Makoto Raiku,Shōnen,33,2001,22.0,http://mangapark.me/manga/zatch-bell,http://2.c.mpcdn.net/21420/1/180.jpg
100,105,Dōbutsu no Oisha-san,Noriko Sasaki,Shōnen,12,1987,21.6,http://mangapark.me/manga/doubutsu-no-oishasan,http://2.c.mpcdn.net/351185/2/180.jpg
101,106,Eyeshield 21,Riichiro Inagaki,Shōnen,37,2002,21.6,http://mangapark.me/manga/eyeshield-21,http://2.c.mpcdn.net/13229/1/180.jpg
