city,date,fahrenheit
Singapore,12 Jan,84
Sydney,12 Jan,76
Tokyo,12 Jan,43
Toronto,12 Jan,38
Vancouver,12 Jan,32
Bangkok,13 Jan,82
Beijing,13 Jan,30
Boston,13 Jan,51
BuenosAires,13 Jan,80
London,13 Jan,38
Madrid,13 Jan,46
Montreal,13 Jan,16
Moscow,13 Jan,22
NewDelhi,13 Jan,53
NewYork,13 Jan,47
Paris,13 Jan,37
RiodeJaneiro,13 Jan,80
SanFrancisco,13 Jan,49
Seattle,13 Jan,31
Shanghai,13 Jan,43
Singapore,13 Jan,84
Sydney,13 Jan,82
Tokyo,13 Jan,44
Toronto,13 Jan,25
Vancouver,13 Jan,30
Bangkok,14 Jan,82
Beijing,14 Jan,26
Boston,14 Jan,25
BuenosAires,14 Jan,74
London,14 Jan,38
Madrid,14 Jan,39
Montreal,14 Jan,10
Moscow,14 Jan,24
NewDelhi,14 Jan,52
NewYork,14 Jan,31
Paris,14 Jan,36
RiodeJaneiro,14 Jan,83
SanFrancisco,14 Jan,49
Seattle,14 Jan,34
Shanghai,14 Jan,40
Singapore,14 Jan,84
Sydney,14 Jan,80
Tokyo,14 Jan,37
Toronto,14 Jan,22
Vancouver,14 Jan,34
Bangkok,15 Jan,84
Beijing,15 Jan,26
Boston,15 Jan,32
BuenosAires,15 Jan,72
London,15 Jan,42
Madrid,15 Jan,42
Montreal,15 Jan,15
Moscow,15 Jan,29
NewDelhi,15 Jan,61
NewYork,15 Jan,34
Paris,15 Jan,32
RiodeJaneiro,15 Jan,84
SanFrancisco,15 Jan,47
Seattle,15 Jan,34
Shanghai,15 Jan,40
Singapore,15 Jan,86
Sydney,15 Jan,74
Tokyo,15 Jan,34
Toronto,15 Jan,28
Vancouver,15 Jan,37
Bangkok,16 Jan,83
Beijing,16 Jan,29
Boston,16 Jan,33
BuenosAires,16 Jan,74
London,16 Jan,40
Madrid,16 Jan,44
Montreal,16 Jan,26
Moscow,16 Jan,28
NewDelhi,16 Jan,57
NewYork,16 Jan,37
Paris,16 Jan,34
RiodeJaneiro,16 Jan,86
SanFrancisco,16 Jan,49
Seattle,16 Jan,37
Shanghai,16 Jan,42
Singapore,16 Jan,84
Sydney,16 Jan,78
Tokyo,16 Jan,37
Toronto,16 Jan,32
Vancouver,16 Jan,40
Bangkok,17 Jan,82
Beijing,17 Jan,28
Boston,17 Jan,37
BuenosAires,17 Jan,82
London,17 Jan,37
Madrid,17 Jan,45
Montreal,17 Jan,27
Moscow,17 Jan,20
NewDelhi,17 Jan,51
NewYork,17 Jan,40
Paris,17 Jan,27
RiodeJaneiro,17 Jan,89
SanFrancisco,17 Jan,47
Seattle,17 Jan,44
Shanghai,17 Jan,42
Singapore,17 Jan,84
Sydney,17 Jan,84
Tokyo,17 Jan,42
Toronto,17 Jan,34
Vancouver,17 Jan,44
Bangkok,18 Jan,84
Beijing,18 Jan,26
Boston,18 Jan,36
BuenosAires,18 Jan,76
London,18 Jan,36
Madrid,18 Jan,34
Montreal,18 Jan,26
Moscow,18 Jan,22
NewDelhi,18 Jan,52
NewYork,18 Jan,40
Paris,18 Jan,28
RiodeJaneiro,18 Jan,88
SanFrancisco,18 Jan,52
Seattle,18 Jan,48
Shanghai,18 Jan,47
Singapore,18 Jan,83
Sydney,18 Jan,84
Tokyo,18 Jan,42
Toronto,18 Jan,37
Vancouver,18 Jan,48
Bangkok,19 Jan,85
Beijing,19 Jan,24
Boston,19 Jan,39
BuenosAires,19 Jan,80
London,19 Jan,38
Madrid,19 Jan,36
Montreal,19 Jan,31
Moscow,19 Jan,22
NewDelhi,19 Jan,56
NewYork,19 Jan,44
Paris,19 Jan,28
RiodeJaneiro,19 Jan,84
SanFrancisco,19 Jan,55
Seattle,19 Jan,46
Shanghai,19 Jan,45
Singapore,19 Jan,84
Sydney,19 Jan,70
Tokyo,19 Jan,44
Toronto,19 Jan,36
Vancouver,19 Jan,45
Bangkok,20 Jan,84
Beijing,20 Jan,20
Boston,20 Jan,37
BuenosAires,20 Jan,80
London,20 Jan,37
Madrid,20 Jan,42
Montreal,20 Jan,34
Moscow,20 Jan,28
NewDelhi,20 Jan,56
NewYork,20 Jan,43
Paris,20 Jan,28
RiodeJaneiro,20 Jan,82
SanFrancisco,20 Jan,34
Seattle,20 Jan,43
Shanghai,20 Jan,35
Singapore,20 Jan,80
Sydney,20 Jan,77
Tokyo,20 Jan,37
Toronto,20 Jan,37
Vancouver,20 Jan,44
Bangkok,21 Jan,82
Beijing,21 Jan,22
Boston,21 Jan,46
BuenosAires,21 Jan,82
London,21 Jan,36
Madrid,21 Jan,45
Montreal,21 Jan,34
Moscow,21 Jan,24
NewDelhi,21 Jan,56
NewYork,21 Jan,45
Paris,21 Jan,28
RiodeJaneiro,21 Jan,84
SanFrancisco,21 Jan,52
Seattle,21 Jan,46
Shanghai,21 Jan,36
Singapore,21 Jan,83
Sydney,21 Jan,72
Tokyo,21 Jan,42
Toronto,21 Jan,40
Vancouver,21 Jan,46
Bangkok,22 Jan,81
Beijing,22 Jan,21
Boston,22 Jan,44
BuenosAires,22 Jan,80
London,22 Jan,34
Madrid,22 Jan,39
Montreal,22 Jan,32
Moscow,22 Jan,22
NewDelhi,22 Jan,60
NewYork,22 Jan,46
Paris,22 Jan,30
RiodeJaneiro,22 Jan,83
SanFrancisco,22 Jan,52
Seattle,22 Jan,42
Shanghai,22 Jan,37
Singapore,22 Jan,82
Sydney,22 Jan,74
Tokyo,22 Jan,44
Toronto,22 Jan,40
Vancouver,22 Jan,42
Bangkok,23 Jan,80
Beijing,23 Jan,19
Boston,23 Jan,38
BuenosAires,23 Jan,80
London,23 Jan,34
Madrid,23 Jan,42
Montreal,23 Jan,28
Moscow,23 Jan,30
NewDelhi,23 Jan,63
NewYork,23 Jan,40
Paris,23 Jan,28
RiodeJaneiro,23 Jan,84
SanFrancisco,23 Jan,50
Seattle,23 Jan,40
Shanghai,23 Jan,36
Singapore,23 Jan,78
Sydney,23 Jan,78
Tokyo,23 Jan,40
Toronto,23 Jan,37
Vancouver,23 Jan,39
Bangkok,24 Jan,80
Beijing,24 Jan,22
Boston,24 Jan,39
BuenosAires,24 Jan,79
London,24 Jan,42
Madrid,24 Jan,43
Montreal,24 Jan,26
Moscow,24 Jan,28
NewDelhi,24 Jan,64
NewYork,24 Jan,37
Paris,24 Jan,30
RiodeJaneiro,24 Jan,86
SanFrancisco,24 Jan,48
Seattle,24 Jan,36
Shanghai,24 Jan,40
Singapore,24 Jan,76
Sydney,24 Jan,84
Tokyo,24 Jan,36
Toronto,24 Jan,34
Vancouver,24 Jan,38
Bangkok,25 Jan,81
Beijing,25 Jan,26
Boston,25 Jan,40
BuenosAires,25 Jan,70
London,25 Jan,36
Madrid,25 Jan,39
Montreal,25 Jan,29
Moscow,25 Jan,10
NewDelhi,25 Jan,66
NewYork,25 Jan,44
Paris,25 Jan,28
RiodeJaneiro,25 Jan,88
SanFrancisco,25 Jan,49
Seattle,25 Jan,40
Shanghai,25 Jan,46
Singapore,25 Jan,80
Sydney,25 Jan,71
Tokyo,25 Jan,39
Toronto,25 Jan,38
Vancouver,25 Jan,40
Bangkok,26 Jan,81
Beijing,26 Jan,34
Boston,26 Jan,44
BuenosAires,26 Jan,66
London,26 Jan,31
Madrid,26 Jan,38
Montreal,26 Jan,32
Moscow,26 Jan,4
NewDelhi,26 Jan,62
NewYork,26 Jan,50
Paris,26 Jan,30
RiodeJaneiro,26 Jan,88
SanFrancisco,26 Jan,50
Seattle,26 Jan,45
Shanghai,26 Jan,45
Singapore,26 Jan,83
Sydney,26 Jan,70
Tokyo,26 Jan,40
Toronto,26 Jan,38
Vancouver,26 Jan,41
Bangkok,27 Jan,81
Beijing,27 Jan,26
Boston,27 Jan,40
BuenosAires,27 Jan,70
London,27 Jan,37
Madrid,27 Jan,41
Montreal,27 Jan,29
Moscow,27 Jan,21
NewDelhi,27 Jan,62
NewYork,27 Jan,40
Paris,27 Jan,38
RiodeJaneiro,27 Jan,86
SanFrancisco,27 Jan,50
Seattle,27 Jan,46
Shanghai,27 Jan,44
Singapore,27 Jan,82
Sydney,27 Jan,74
Tokyo,27 Jan,47
Toronto,27 Jan,33
Vancouver,27 Jan,44
Bangkok,28 Jan,79
Beijing,28 Jan,27
Boston,28 Jan,36
BuenosAires,28 Jan,78
London,28 Jan,46
Madrid,28 Jan,44
Montreal,28 Jan,29
Moscow,28 Jan,26
NewDelhi,28 Jan,58
NewYork,28 Jan,37
Paris,28 Jan,45
RiodeJaneiro,28 Jan,86
SanFrancisco,28 Jan,50
Seattle,28 Jan,45
Shanghai,28 Jan,50
Singapore,28 Jan,82
Sydney,28 Jan,79
Tokyo,28 Jan,48
Toronto,28 Jan,30
Vancouver,28 Jan,42
Bangkok,29 Jan,80
Beijing,29 Jan,28
Boston,29 Jan,37
BuenosAires,29 Jan,80
London,29 Jan,44
Madrid,29 Jan,42
Montreal,29 Jan,26
Moscow,29 Jan,19
NewDelhi,29 Jan,60
NewYork,29 Jan,39
Paris,29 Jan,40
RiodeJaneiro,29 Jan,86
SanFrancisco,29 Jan,51
Seattle,29 Jan,42
Shanghai,29 Jan,58
Singapore,29 Jan,81
Sydney,29 Jan,75
Tokyo,29 Jan,46
Toronto,29 Jan,26
Vancouver,29 Jan,44
Bangkok,30 Jan,81
Beijing,30 Jan,20
Boston,30 Jan,30
BuenosAires,30 Jan,84
London,30 Jan,46
Madrid,30 Jan,50
Montreal,30 Jan,12
Moscow,30 Jan,12
NewDelhi,30 Jan,60
NewYork,30 Jan,34
Paris,30 Jan,48
RiodeJaneiro,30 Jan,86
SanFrancisco,30 Jan,51
Seattle,30 Jan,44
Shanghai,30 Jan,38
Singapore,30 Jan,82
Sydney,30 Jan,84
Tokyo,30 Jan,56
Toronto,30 Jan,18
Vancouver,30 Jan,41
Bangkok,31 Jan,80
Beijing,31 Jan,30
Boston,31 Jan,24
BuenosAires,31 Jan,80
London,31 Jan,44
Madrid,31 Jan,51
Montreal,31 Jan,10
Moscow,31 Jan,12
NewDelhi,31 Jan,62
NewYork,31 Jan,30
Paris,31 Jan,50
RiodeJaneiro,31 Jan,82
SanFrancisco,31 Jan,51
Seattle,31 Jan,40
Shanghai,31 Jan,40
Singapore,31 Jan,82
Sydney,31 Jan,86
Tokyo,31 Jan,43
Toronto,31 Jan,25
Vancouver,31 Jan,36
Bangkok,1 Feb,82
Beijing,1 Feb,29
Boston,1 Feb,35
BuenosAires,1 Feb,76
London,1 Feb,50
Madrid,1 Feb,44
Montreal,1 Feb,14
Moscow,1 Feb,22
NewDelhi,1 Feb,60
NewYork,1 Feb,40
Paris,1 Feb,51
RiodeJaneiro,1 Feb,82
SanFrancisco,1 Feb,52
Seattle,1 Feb,37
Shanghai,1 Feb,38
Singapore,1 Feb,84
Sydney,1 Feb,72
Tokyo,1 Feb,44
Toronto,1 Feb,32
Vancouver,1 Feb,37
Bangkok,2 Feb,82
Beijing,2 Feb,26
Boston,2 Feb,35
BuenosAires,2 Feb,74
London,2 Feb,52
Madrid,2 Feb,49
Montreal,2 Feb,16
Moscow,2 Feb,16
NewDelhi,2 Feb,60
NewYork,2 Feb,39
Paris,2 Feb,49
RiodeJaneiro,2 Feb,86
SanFrancisco,2 Feb,57
Seattle,2 Feb,36
Shanghai,2 Feb,40
Singapore,2 Feb,82
Sydney,2 Feb,73
Tokyo,2 Feb,41
Toronto,2 Feb,25
Vancouver,2 Feb,36
Bangkok,3 Feb,80
Beijing,3 Feb,29
Boston,3 Feb,29
BuenosAires,3 Feb,76
London,3 Feb,46
Madrid,3 Feb,48
Montreal,3 Feb,19
Moscow,3 Feb,12
NewDelhi,3 Feb,63
NewYork,3 Feb,30
Paris,3 Feb,49
RiodeJaneiro,3 Feb,85
SanFrancisco,3 Feb,58
Seattle,3 Feb,37
Shanghai,3 Feb,46
Singapore,3 Feb,85
Sydney,3 Feb,76
Tokyo,3 Feb,44
Toronto,3 Feb,22
Vancouver,3 Feb,32
Bangkok,4 Feb,84
Beijing,4 Feb,36
Boston,4 Feb,27
BuenosAires,4 Feb,76
London,4 Feb,44
Madrid,4 Feb,52
Montreal,4 Feb,16
Moscow,4 Feb,13
NewDelhi,4 Feb,63
NewYork,4 Feb,28
Paris,4 Feb,41
RiodeJaneiro,4 Feb,84
SanFrancisco,4 Feb,57
Seattle,4 Feb,42
Shanghai,4 Feb,48
Singapore,4 Feb,84
Sydney,4 Feb,80
Tokyo,4 Feb,48
Toronto,4 Feb,23
Vancouver,4 Feb,34
Bangkok,5 Feb,86
Beijing,5 Feb,36
Boston,5 Feb,35
BuenosAires,5 Feb,65
London,5 Feb,40
Madrid,5 Feb,45
Montreal,5 Feb,27
Moscow,5 Feb,14
NewDelhi,5 Feb,66
NewYork,5 Feb,37
Paris,5 Feb,45
RiodeJaneiro,5 Feb,84
SanFrancisco,5 Feb,56
Seattle,5 Feb,37
Shanghai,5 Feb,46
Singapore,5 Feb,84
Sydney,5 Feb,89
Tokyo,5 Feb,44
Toronto,5 Feb,30
Vancouver,5 Feb,34
Bangkok,6 Feb,84
Beijing,6 Feb,34
Boston,6 Feb,36
BuenosAires,6 Feb,66
London,6 Feb,42
Madrid,6 Feb,51
Montreal,6 Feb,12
Moscow,6 Feb,5
NewDelhi,6 Feb,65
NewYork,6 Feb,43
Paris,6 Feb,44
RiodeJaneiro,6 Feb,87
SanFrancisco,6 Feb,58
Seattle,6 Feb,34
Shanghai,6 Feb,42
Singapore,6 Feb,85
Sydney,6 Feb,82
Tokyo,6 Feb,48
Toronto,6 Feb,30
Vancouver,6 Feb,31
Bangkok,7 Feb,83
Beijing,7 Feb,30
Boston,7 Feb,42
BuenosAires,7 Feb,69
London,7 Feb,46
Madrid,7 Feb,48
Montreal,7 Feb,18
Moscow,7 Feb,-2
NewDelhi,7 Feb,59
NewYork,7 Feb,39
Paris,7 Feb,44
RiodeJaneiro,7 Feb,86
SanFrancisco,7 Feb,60
Seattle,7 Feb,36
Shanghai,7 Feb,44
Singapore,7 Feb,82
Sydney,7 Feb,72
Tokyo,7 Feb,43
Toronto,7 Feb,32
Vancouver,7 Feb,34
Bangkok,8 Feb,84
Beijing,8 Feb,31
Boston,8 Feb,39
BuenosAires,8 Feb,72
London,8 Feb,40
Madrid,8 Feb,42
Montreal,8 Feb,26
Moscow,8 Feb,0
NewDelhi,8 Feb,62
NewYork,8 Feb,50
Paris,8 Feb,40
RiodeJaneiro,8 Feb,83
SanFrancisco,8 Feb,60
Seattle,8 Feb,38
Shanghai,8 Feb,40
Singapore,8 Feb,83
Sydney,8 Feb,74
Tokyo,8 Feb,43
Toronto,8 Feb,27
Vancouver,8 Feb,30
Bangkok,9 Feb,84
Beijing,9 Feb,30
Boston,9 Feb,25
BuenosAires,9 Feb,76
