id, id2,Title,Author,Genre,Length,Published_Year,Revenue_in_million,Webpage_link,Image_link
52,55,Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shōnen,38,1988,40.0,http://mangapark.me/manga/kyou-kara-ore-wa,http://file-thumb.mpcdn.net/5568/2/180.jpg
53,56,Tsurikichi Sanpei,Takao Yaguchi,Shōnen,65,1973,40.0,http://mangapark.me/manga/tsurikichi-sanpei,http://static.mangapark.me/img/no-cover.jpg
54,57,Yu-Gi-Oh!,Kazuki Takahashi,Shōnen,38,1996,40.0,http://mangapark.me/manga/yu-gi-oh,http://file-thumb.mpcdn.net/11396/1/180.jpg
55,58,Nodame Cantabile,Tomoko Ninomiya,Josei,23,2001,37.0,http://mangapark.me/manga/nodame-cantabile,http://file-thumb.mpcdn.net/7101/1/180.jpg
56,59,20th Century Boys,Naoki Urasawa,Seinen,22,1999,36.0,http://mangapark.me/manga/20th-century-boys,http://file-thumb.mpcdn.net/182/1/180.jpg
57,60,Cooking Papa,Tochi Ueyama,Seinen,132,1985,36.0,http://mangapark.me/manga/cooking-papa,http://file-thumb.mpcdn.net/1920/1/180.jpg
58,61,Crest of the Royal Family,Chieko Hosokawa,Shōjo,59,1976,36.0,http://mangapark.me/manga/crest-of-the-royal-family,http://file-thumb.mpcdn.net/7590/2/180.jpg
59,62,Dr. Slump,Akira Toriyama,Shōnen,18,1980,35.0,http://mangapark.me/manga/dr-slump,http://file-thumb.mpcdn.net/2448/3/180.jpg
60,63,Fairy Tail,Hiro Mashima,Shōnen,59,2006,35.0,http://mangapark.me/manga/fairy-tail,http://file-thumb.mpcdn.net/2667/29/180.jpg
61,64,Sailor Moon,Naoko Takeuchi,Shōjo,18,1991,35.0,http://mangapark.me/manga/sailor-moon,http://file-thumb.mpcdn.net/8473/1/180.jpg
62,65,Saint Seiya,Masami Kurumada,Shōnen,28,1986,34.0,http://mangapark.me/manga/saint-seiya,http://file-thumb.mpcdn.net/8479/2/180.jpg
63,66,3×3 Eyes,Yuzo Takada,Seinen,40,1987,33.0,http://mangapark.me/manga/3x3-eyes,http://file-thumb.mpcdn.net/209/1/180.jpg
64,67,Chibi Maruko-chan,Momoko Sakura,Shōjo,16,1986,32.0,http://mangapark.me/manga/chibi-maruko-chan,http://file-thumb.mpcdn.net/24059/2/180.jpg
65,69,Chameleon,Atsushi Kase,Shōnen,47,1990,30.0,http://mangapark.me/manga/chameleon,http://file-thumb.mpcdn.net/1654/1/180.jpg
66,70,Death Note,Tsugumi Ohba,Shōnen,12,2003,30.0,http://mangapark.me/manga/death-note,http://file-thumb.mpcdn.net/2186/2/180.jpg
67,71,Gaki Deka,Tatsuhiko Yamagami,Shōnen,26,1974,30.0,http://mangapark.me/manga/gaki-deka,http://static.mangapark.me/img/no-cover.jpg
68,72,Jarinko Chie,Etsumi Haruki,Seinen,67,1978,30.0,http://mangapark.me/manga/jarinko-chie,http://static.mangapark.me/img/no-cover.jpg
69,73,Kuroko's Basketball,Tadatoshi Fujimaki,Shōnen,30,2008,30.0,http://mangapark.me/manga/kuroko-no-basuke,http://file-thumb.mpcdn.net/5530/11/180.jpg
70,74,Salaryman Kintarō,Hiroshi Motomiya,Seinen,30,1994,30.0,http://mangapark.me/manga/salaryman-kintaro,http://file-thumb.mpcdn.net/8546/1/180.jpg
71,75,Shura no Mon,Masatoshi Kawahara,Shōnen,31,1987,30.0,http://mangapark.me/manga/shura-no-mon,http://file-thumb.mpcdn.net/9179/1/180.jpg
72,76,Urusei Yatsura,Rumiko Takahashi,Shōnen,34,1978,30.0,http://mangapark.me/manga/urusei-yatsura,http://file-thumb.mpcdn.net/10741/1/180.jpg
73,77,Ushio and Tora,Kazuhiro Fujita,Shōnen,33,1990,30.0,http://mangapark.me/manga/ushio-and-tora,http://file-thumb.mpcdn.net/21332/1/180.jpg
74,78,Hayate Densetsu Tokkō no Taku,Hiroto Saki,Shōnen,27,1991,29.0,http://mangapark.me/manga/hayate-densetsu-tokko-no-taku,http://static.mangapark.me/img/no-cover.jpg
75,79,Kingdom,Yasuhisa Hara,Seinen,45,2006,28.0,http://mangapark.me/manga/kingdom,http://file-thumb.mpcdn.net/5073/20/180.jpg
76,80,Tokimeki Tonight,Koi Ikeno,Shōjo,30,1982,28.0,http://mangapark.me/manga/tokimeki-tonight,http://file-thumb.mpcdn.net/10290/1/180.jpg
77,81,Worst,Hiroshi Takahashi,Shōnen,31,2002,28.0,http://mangapark.me/manga/worst,http://file-thumb.mpcdn.net/11155/1/180.jpg
78,82,Itazura na Kiss,Kaoru Tada,Shōjo,23,1990,27.0,http://mangapark.me/manga/itazura-na-kiss,http://file-thumb.mpcdn.net/4320/1/180.jpg
79,83,Yūkan Club,Yukari Ichijo,Shōjo,19,1982,27.0,http://mangapark.me/manga/yukan-club,http://file-thumb.mpcdn.net/11414/1/180.jpg
80,84,Asari-chan,Mayumi Muroyama,Shōjo,100,1978,26.5,http://mangapark.me/manga/asari-chan,http://static.mangapark.me/img/no-cover.jpg
81,85,Reborn!,Akira Amano,Shōnen,42,2004,26.5,http://mangapark.me/manga/reborn,http://file-thumb.mpcdn.net/4784/1/180.jpg
