id,Title,Author,Genre,Length,Published_Year,Revenue_in_million
110,Hell Teacher Nūbē,Shō Makura,Shōnen,31,1993,20.0
111,Kaiji,Nobuyuki Fukumoto,Seinen,49,1996,20.0
112,Kimagure Orange Road,Izumi Matsumoto,Shōnen,18,1984,20.0
113,Kimi ni Todoke,Karuho Shiina,Shōjo,23,2005,20.0
114,Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shōnen,32,2009,20.0
115,Monster,Naoki Urasawa,Seinen,18,1994,20.0
116,Negima! Magister Negi Magi,Ken Akamatsu,Shōnen,38,2003,20.0
117,Oh My Goddess!,Kōsuke Fujishima,Seinen,48,1988,20.0
118,The Rose of Versailles,Riyoko Ikeda,Shōjo,10,1972,20.0
119,The Seven Deadly Sins,Nakaba Suzuki,Shōnen,24,2012,20.0
120,Sukeban Deka,Shinji Wada,Shōjo,22,1976,20.0
121,Tokyo Daigaku Monogatari,Tatsuya Egawa,Seinen,34,1992,20.0
122,Tokyo Ghoul,Sui Ishida,Seinen,23,2011,20.0
123,Toriko,Mitsutoshi Shimabukuro,Shōnen,43,2008,20.0
124,Tsubasa: Reservoir Chronicle,Clamp,Shōnen,28,2003,20.0
